"id","country_id","pop_2022","pop_2020","pop_2010","pop_2000","pop_1990","pop_1980","pop_1970"
"null",36,41128771,38972230,28189672,19542982,10694796,12486631,10752971
"null",138,2842321,2866849,2913399,3182021,3295066,2941651,2324731
"null",34,44903225,43451666,35856344,30774621,25518074,18739378,13795915
"null",213,44273,46189,54849,58230,47818,32886,27075
"null",203,79824,77700,71519,66097,53569,35611,19860
"null",42,35588987,33428485,23364185,16394062,11828638,8330047,6029700
"null",224,15857,15585,13172,11047,8316,6560,6283
"null",201,93763,92664,85695,75055,63328,64888,64516
"null",33,45510318,45036032,41100123,37070774,32637657,28024803,23842803
"null",140,2780469,2805608,2946293,3168523,3556539,3135123,2534377
"null",198,106445,106585,100341,89101,65712,62267,59106
"null",55,26177413,25670051,22019168,19017963,17048003,14706322,12595034
"null",99,8939617,8907777,8362829,8010428,7678729,7547561,7465301
"null",91,10358074,10284951,9237202,8190337,7427836,6383060,5425317
"null",176,409984,406471,373272,325014,270679,223752,179129
"null",154,1472233,1477469,1213645,711442,517418,362595,222555
"null",8,171186372,167420951,148391139,129193327,107147651,83929765,67541860
"null",186,281635,280693,274711,264657,258868,253575,241397
"null",96,9534954,9633740,9731427,10256483,10428525,9817257,9170786
"null",81,11655930,11561717,10877947,10264343,9959560,9828986,9629376
"null",177,405272,394921,322106,240406,182589,145133,120905
"null",77,13352864,12643123,9445710,6998023,5133419,3833939,3023443
"null",206,64184,64031,63447,61371,57470,53565,52019
"null",165,782455,772506,705516,587207,558442,415257,298894
"null",80,12224110,11936162,10223270,8592656,7096194,5736088,4585693
"null",137,3233526,3318407,3811088,4179350,4494310,4199820,3815561
"null",144,2630296,2546402,2091664,1726985,1341474,938578,592244
"null",7,215313498,213196304,196353492,175873720,150706446,122288383,96369875
"null",221,31305,30910,27556,20104,15617,11109,9581
"null",175,449002,441725,396053,333926,261928,187921,133343
"null",108,6781953,6979175,7592273,8097691,8767778,8980606,8582950
"null",58,22673762,21522626,16116845,11882888,9131361,6932967,5611666
"null",78,12889576,12220227,9126605,6307659,5483793,4312834,3497834
"null",73,16767842,16396860,14363532,12118841,8910808,6198959,6708525
"null",53,27914536,26491087,19878036,15091594,11430520,8519891,6452787
"null",39,38454327,37888705,33963412,30683313,27657204,24511510,21434577
"null",171,593149,582640,521212,458251,364563,317234,287262
"null",205,68706,67311,54074,39658,26027,17100,10533
"null",117,5579144,5343020,4660067,3759170,2809221,2415276,2067356
"null",69,17723315,16644701,11894727,8259137,5827069,4408230,3667394
"null",65,19603733,19300315,17004162,15351799,13342868,11469828,9820481
"null",1,1425887337,1424929781,1348191368,1264099069,1153704252,982372466,822534450
"null",28,51874024,50930662,44816108,39215135,32601393,26176195,20905254
"null",163,836774,806166,656024,536758,431119,328328,242351
"null",223,17011,17029,17212,15897,17123,17651,20470
"null",124,5180829,5123105,4622252,3979193,3158253,2414303,1855697
"null",130,4030358,4096868,4368682,4548434,4873707,4680144,4492638
"null",85,11212191,11300698,11290417,11105791,10626680,9809107,8869636
"null",189,191163,189288,159380,141424,155446,156851,150385
"null",158,1251488,1237537,1129686,948237,788500,679327,640804
"null",88,10493986,10530953,10464749,10234710,10301192,10270060,9795744
"null",115,5882261,5825641,5550849,5340655,5144623,5125392,4922963
"null",160,1120849,1090156,919199,742033,577173,324121,144379
"null",204,72737,71995,68755,68346,69481,72978,68895
"null",84,11228821,10999664,9775755,8540791,7129004,5755800,4475871
"null",15,99010212,92853164,66391257,48616317,35987541,26708686,20151733
"null",67,18001000,17588595,14989585,12626507,10449837,8135845,6172215
"null",14,110990103,107465134,87252413,71371371,57214630,43748556,34781986
"null",112,6336392,6292731,6114034,5958482,5367179,4508992,3619090
"null",152,1674908,1596049,1094524,684977,465549,282509,316955
"null",132,3684032,3555868,3147727,2392880,2149960,1657982,1272748
"null",156,1326062,1329444,1331535,1396877,1570674,1476983,1361999
"null",159,1201670,1180655,1099920,1030496,854011,598564,442865
"null",12,123379924,117190911,89237791,67031867,47878073,34945469,28308246
"null",231,3780,3747,3187,3080,2332,2240,2274
"null",209,53090,52415,48410,45660,47479,43054,38416
"null",162,929766,920422,905169,832509,780430,644582,527634
"null",118,5540745,5529468,5363271,5176209,4986545,4779418,4606621
"null",23,64626628,64480053,62444567,58665453,56412897,53713830,50523586
"null",184,304557,290969,228453,164351,113931,66825,46484
"null",183,306279,301920,283788,250927,211089,163591,117891
"null",146,2388992,2292573,1711105,1272935,983028,749078,597192
"null",142,2705992,2573995,1937275,1437539,1040616,718586,528731
"null",131,3744385,3765912,3836831,4265172,5391636,5145843,4800426
"null",19,83369843,83328988,81325090,81551677,79370196,77786703,78294583
"null",47,33475870,32180401,25574719,19665502,15446982,11865246,8861895
"null",219,32649,32709,31262,27741,27317,28734,26685
"null",90,10384971,10512232,11033783,11038109,10302255,9307148,8544873
"null",208,56466,56026,56351,56184,55599,50106,45434
"null",193,125438,123663,114039,107432,99047,94838,98794
"null",178,395752,395642,403072,424067,391951,334234,318310
"null",191,171774,169231,164905,160188,138263,110286,88300
"null",68,17843908,17362718,14543121,11735894,9084780,6987767,5453208
"null",207,63301,62794,60782,59114,57727,52860,52656
"null",75,13859341,13205153,10270728,8336967,6354145,4972609,4222374
"null",149,2105566,2015828,1567220,1230849,973551,831462,591663
"null",164,808726,797202,747932,759051,747116,778176,705261
"null",82,11584996,11306801,9842880,8360225,6925331,5646676,4680812
"null",89,10432860,10121763,8450933,6656725,5053234,3777990,2782753
"null",104,7488865,7500958,7132438,6731195,5838574,4978544,3955072
"null",94,9967308,9750573,9986825,10202055,10375989,10698679,10315366
"null",179,372899,366669,318333,281462,255019,228263,204468
"null",2,1417173173,1396387127,1240613620,1059633675,870452165,696828385,557501301
"null",4,275501339,271857970,244016173,214072421,182159874,148177096,115228394
"null",17,88550570,87290193,75373855,65544383,55793629,38520664,28449705
"null",35,44496122,42556984,31264875,24628858,17658381,13653369,9811347
"null",125,5023109,4946119,4524585,3768950,3485374,3391387,2937637
"null",202,84519,84046,83828,75562,68865,64022,55298
"null",98,9038309,8757489,7328445,6116958,4803254,3744608,2907307
"null",25,59037474,59500579,59822450,56966397,56756561,56329482,53324036
"null",52,28160542,26811790,21120042,16799670,11910540,8303809,5477086
"null",139,2827377,2820436,2733896,2612205,2392030,2135546,1859091
"null",11,123951692,125244761,128105431,126803861,123686321,117624196,105416839
"null",195,110778,108319,96151,86192,82874,75124,68347
"null",83,11285869,10928721,6931258,5056174,3480587,2216903,1557374
"null",66,19397998,18979243,16627837,15236253,16866563,14172710,12265305
"null",27,54027487,51985780,41517895,30851606,23162269,16187124,11473087
"null",192,131232,126463,107995,88826,75124,60813,57437
"null",129,4268873,4360444,2943356,1934901,1674938,1493870,802786
"null",110,6630623,6424874,5483774,4935182,4394734,3691209,3016384
"null",103,7529475,7319399,6323418,5430853,4314443,3297519,2675283
"null",151,1850651,1897052,2101530,2392530,2689391,2572037,2397414
"null",119,5489739,5662923,4995800,4320642,3593700,2963702,2381791
"null",147,2305825,2254100,2022747,1998630,1798997,1407672,1023481
"null",121,5302681,5087584,4019956,2895224,2209731,1932169,1463563
"null",107,6812341,6653942,6491988,5154790,4236983,2962720,1909177
"null",216,39327,38756,35926,33026,28765,25003,21089
"null",141,2750055,2820267,3139019,3599637,3785847,3521206,3210147
"null",168,647599,630399,507070,435628,381267,363741,339342
"null",167,695168,676283,557297,431896,350227,245332,247284
"null",50,29611714,28225177,21731053,16216431,11882762,8948162,6639751
"null",62,20405317,19377061,14718422,11229387,9539665,6267369,4625141
"null",45,33938221,33199993,28717731,22945150,17517054,13215707,10306508
"null",174,523787,514438,361575,282507,224957,164887,123243
"null",59,22593590,21224040,15529181,11239101,8945026,7372581,6153587
"null",173,533286,515357,418755,399212,365392,333587,315414
"null",215,41569,43413,53416,54224,46047,31988,23969
"null",180,367507,370391,392181,432543,374271,333786,326428
"null",126,4736139,4498604,3419461,2695003,2006027,1506694,1122198
"null",157,1299469,1297828,1283330,1215930,1090290,954865,830115
"null",182,326101,305587,211786,159215,92659,52233,35383
"null",10,127504125,125998302,112532401,97873442,81720428,67705186,50289306
"null",194,114164,112106,107588,111709,98603,76299,58989
"null",135,3272996,3084847,3678186,4251573,4480199,4103240,3711140
"null",217,36469,36922,33178,32465,30329,27076,24270
"null",134,3398366,3294335,2702520,2450979,2161433,1697780,1293880
"null",169,627082,629048,631044,633324,621442,589324,530268
"null",230,4390,4500,4938,5138,10805,11452,11402
"null",40,37457971,36688772,32464865,28554415,24570814,19678444,15274351
"null",48,32969517,31178239,23073723,17768505,13303459,11413587,8411676
"null",26,54179306,53423198,49390988,45538332,40099553,33465781,27284112
"null",145,2567012,2489098,2099271,1819141,1369011,975994,754467
"null",225,12668,12315,10241,10377,9598,7635,6663
"null",49,30547580,29348627,27161567,24559500,19616530,15600442,12501285
"null",71,17564014,17434557,16617116,15899135,14944548,14130387,13037686
"null",185,289950,286403,261426,221537,177264,148599,110982
"null",123,5185288,5061133,4346338,3855266,3397389,3147168,2824061
"null",106,6948392,6755895,5855734,5123222,4227820,3303309,2444767
"null",54,26207977,24333639,16647543,11622665,8370647,6173177,4669708
"null",6,218541212,208327405,160952853,122851984,95214257,72951439,55569264
"null",232,1934,1942,1812,2074,2533,3637,5185
"null",56,26069416,25867467,24686435,23367059,20799523,17973650,14996879
"null",150,2093599,2111072,2093828,2037936,2044174,1907023,1656783
"null",210,49551,49587,54087,80338,48002,17613,10143
"null",120,5434319,5379839,4889741,4491202,4241636,4085776,3875546
"null",127,4576298,4543399,2881914,2344253,1804524,1017462,670693
"null",5,235824862,227196741,194454498,154369924,115414069,80624057,59290872
"null",222,18055,17972,18540,19726,15293,12252,11366
"null",122,5250072,5019401,3992278,3139954,2124609,1453620,1118241
"null",128,4408581,4294396,3623617,3001731,2449968,1956987,1516188
"null",93,10142619,9749640,7583269,5508297,3864972,3104788,2489059
"null",109,6780744,6618695,5768613,5123819,4059195,3078912,2408787
"null",44,34049588,33304756,29229572,26654439,22109099,17492406,13562371
"null",13,115559009,112190977,94636700,77958223,61558898,48419546,37435586
"null",37,39857145,38428366,38597353,38504431,38064255,35521429,32482943
"null",92,10270865,10298192,10588401,10300626,10007346,9785252,8683631
"null",136,3252407,3271564,3717922,3827108,3543776,3214568,2737619
"null",143,2695122,2760385,1713504,645937,441675,277450,118007
"null",114,5970424,5702174,4437884,3134030,2385435,1829256,1396989
"null",161,974052,957822,890130,785424,658992,551674,473925
"null",64,19659267,19442038,20335211,21919876,22836234,22125224,19922618
"null",9,144713314,145617329,143242599,146844839,148005704,138257420,130093010
"null",76,13776698,13146362,10309031,8109989,7319962,5247532,3896367
"null",228,10967,10681,8988,7082,5168,2983,2417
"null",211,47657,47642,47403,45461,40636,43097,44968
"null",190,179857,179237,170935,159500,142301,121633,103090
"null",220,31791,32552,36458,29610,28127,7776,5802
"null",229,5862,5906,6052,6274,6324,6106,5537
"null",199,103948,104632,109308,113813,112487,107480,98459
"null",188,222382,214929,194672,184008,168186,164905,142771
"null",218,33660,34007,31608,26823,23132,21346,18169
"null",187,227380,218641,182138,143714,120343,97210,77583
"null",41,36408820,35997107,29411929,21547390,16004763,10171710,6106191
"null",72,17316449,16436119,12530121,9704287,7536001,5703869,4367744
"null",105,7221365,7358005,7653748,7935022,7987529,7777010,7193533
"null",196,107118,105530,92409,80060,71057,65290,54379
"null",102,8605718,8233969,6436698,4584067,4325388,3367477,2778557
"null",113,5975689,5909869,5163590,4053602,3022209,2400729,2061831
"null",214,44175,43621,33034,30489,27845,12243,6260
"null",116,5643453,5456681,5396424,5376690,5261305,4973883,4522867
"null",148,2119844,2117641,2057286,1984339,1986024,1901570,1741286
"null",166,724273,691191,540394,429978,324171,233668,172833
"null",70,17597511,16537016,12026649,8721465,6999096,5892224,3720977
"null",24,59893885,58801927,51784921,46813266,39877570,29463549,22368306
"null",29,51815810,51844690,48813042,46788591,44120039,38170501,32601143
"null",86,10913164,10606227,9714419,6114440,4750817,4192011,3342410
"null",30,47558630,47363807,46572772,40741651,38889889,37491666,33792617
"null",61,21832143,21715079,20668557,18776371,17204094,14943645,12388769
"null",32,46874204,44440486,33739933,26298773,21090886,16673586,11305206
"null",170,618040,607065,546080,478998,412756,375112,379918
"null",87,10549347,10368969,9381729,8871043,8548406,8311763,8027702
"null",101,8740472,8638613,7822435,7182059,6711693,6319113,6181227
"null",60,22125249,20772595,22337563,16307654,12408996,8898954,6319199
"null",57,23893394,23821464,23083083,22194731,20586174,18100281,14957870
"null",95,9952787,9543207,7621779,6272998,5417860,4045965,2993019
"null",22,65497748,61704518,45110527,34463704,26206012,19297659,13618192
"null",20,71697030,71475664,68270489,63066603,55228410,45737753,35791728
"null",155,1341296,1299995,1088486,878360,758106,642224,554021
"null",100,8848699,8442580,6571855,5008035,3875947,2838110,2197383
"null",233,1871,1827,1367,1666,1669,1647,1714
"null",197,106858,105254,107383,102603,98727,96708,86484
"null",153,1531044,1518147,1410296,1332203,1266518,1127852,988890
"null",79,12356117,12161723,10895063,9893316,8440023,6578156,5047404
"null",18,85341241,84135428,73195345,64113547,54324142,44089069,35540990
"null",111,6430770,6250438,5267970,4569132,3720278,2862903,2201432
"null",212,45703,44276,29726,18744,11709,7598,5665
"null",227,11312,11069,10550,9638,9182,7731,5814
"null",31,47249585,44404611,32341728,24020697,17586630,13284026,10317212
"null",38,39701739,43909666,45683020,48879755,51589817,49973920,47279086
"null",97,9441129,9287289,8481771,3275333,1900151,1014048,298084
"null",21,67508936,67059474,62760039,58850043,57210442,56326328,55650166
"null",3,338289857,335942003,311182845,282398554,248083732,223140018,200328340
"null",200,99465,100442,106142,108185,100685,96640,63446
"null",133,3422794,3429086,3352651,3292224,3117012,2953750,2790265
"null",43,34627652,33526656,28614227,24925554,20579100,15947129,12011361
"null",181,326740,311685,245453,192074,150882,118156,87019
"null",234,510,520,596,651,700,733,752
"null",51,28301696,28490453,28715022,24427729,19750579,15210443,11355475
"null",16,98186856,96648685,87411012,79001142,66912613,52968270,41928849
"null",226,11572,11655,13142,14723,13454,11315,9377
"null",172,575986,556048,413296,270375,178529,116775,76371
"null",46,33696614,32284046,24743946,18628700,13375121,9204938,6843607
"null",63,20017675,18927715,13792086,9891136,7686401,5720438,4281671
"null",74,16320537,15669666,12839771,11834676,10113893,7049926,5202918
